JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,5590,2738,2852,2992,2598,3,4,3
ARAD,4798,2782,2016,2867,1931,2,3,2
ARGES,10508,5499,5009,4793,5715,4,4,4
BACAU,10881,4703,6178,2835,8046,5,5,5
BIHOR,5349,3216,2133,3393,1956,2,3,1
BISTRITA NASAUD,3998,2271,1727,2259,1739,3,4,2
BOTOSANI,3991,1987,2004,1245,2746,3,3,3
BRAILA,4901,2156,2745,997,3904,4,4,4
BRASOV,6581,3226,3355,2287,4294,3,3,2
BUZAU,12280,5241,7039,2183,10097,7,7,8
CALARASI,3765,1985,1780,1036,2729,4,4,4
CARA?-SEVERIN,3915,1824,2091,1658,2257,4,4,3
CLUJ,6652,3728,2924,3251,3401,2,2,1
CONSTANTA,7017,3827,3190,2270,4747,2,3,2
COVASNA,4174,2158,2016,1306,2868,5,5,4
DAMBOVITA,5967,2901,3066,1587,4380,3,4,3
DOLJ,17467,7641,9826,3058,14409,7,6,7
GALATI,11944,5389,6555,2277,9667,6,6,6
GIURGIU,2186,1198,988,800,1386,3,3,2
GORJ,5271,2542,2729,2283,2988,4,4,4
HARGHITA,6034,3108,2926,2378,3656,4,5,4
HUNEDOARA,6265,3573,2692,3863,2402,4,4,3
IALOMITA,4352,2031,2321,1079,3273,5,5,5
IASI,9311,4452,4859,1936,7375,3,3,3
ILFOV,851,490,361,391,460,0,1,0
MARAMURES,5425,2681,2744,2004,3421,3,3,3
MEHEDINTI,6499,2908,3591,1667,4832,6,6,7
MUN. BUC.,15354,8223,7131,4767,10587,1,1,1
MURES,6025,2999,3026,2130,3895,3,3,2
NEAMT,8160,3888,4272,2281,5879,5,5,4
OLT,9554,4417,5137,2008,7546,6,6,6
PRAHOVA,9089,4848,4241,4471,4618,3,4,3
SALAJ,5042,2302,2740,1648,3394,5,5,5
SATU M.,5028,2362,2666,949,4079,3,4,3
SIBIU,5441,2734,2707,2707,2734,3,3,2
SUCEAVA,11720,5648,6072,4298,7422,5,5,5
TELEORMAN,8722,3968,4754,1953,6769,6,6,6
TIMIS,4105,2322,1783,2723,1382,1,2,1
TULCEA,2533,1271,1262,847,1686,3,3,3
VALCEA,6112,3079,3033,2770,3342,4,4,3
VASLUI,8281,3603,4678,1463,6818,6,6,7
VRANCEA,5524,2516,3008,1214,4310,4,4,4
Total ,286662,140435,146227,94924,191738,3,4,3
